Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
782;RAKO;CR 1,7;NIE;2075;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;280,00
783;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1657;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;200,00
784;SZAJNA;CR 1,67;NIE;2119;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;240,00
785;SZAJNA;NIE DOTYCZY;NIE;1469;SZKŁO OKULAROWE;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;120,00
786;JZO;IZOKRON IN. 15;NIE;2147;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
787;RAKO;CR/55;NIE;2068;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;69,00
788;JZO;NIE DOTYCZY;NIE;1421;SZKŁO OKULAROWE;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
789;SZAJNA;OPTIPLAST 1,5;NIE;1654;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;95,00
790;SZAJNA;CR 1,6 A;NIE;2118;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;220,00
791;SZAJNA;CR 1,5 K;NIE;2113;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;110,00
792;SZAJNA;CR 1,6;NIE;2116;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;160,00
793;JZO;IZOPLAST 160;NIE;2152;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;230,00
794;JZO;IZOPLAST 160;NIE;1650;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;230,00
795;RAKO;CR 1,56 SC;NIE;2071;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;120,00
796;JZO;NIE DOTYCZY;NIE;1467;SZKŁO OKULAROWE;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
797;SZAJNA;CR 1,67 A;NIE;2120;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;260,00
798;SZAJNA;CR 1,56;NIE;2112;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;69,00
799;SZAJNA;OPTIPLAST 1,6;NIE;1656;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;179,00
800;NEOLENS;NEODENS RX 1,5;NIE;1651;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;85,00
801;RAKO;CR 1,67;NIE;2073;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;180,00
802;RAKO;CR 1,61;NIE;2072;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;140,00
803;JZO;IZOKRON 16;NIE;2322;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
804;RAKO;CR;NIE;2328;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
805;RAKO;CR 14,67 A;NIE;2074;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;230,00
806;SZAJNA;CR 1,359;NIE;2117;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;200,00
807;SZAJNA;OPTIPLAST 1,56;NIE;1655;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;119,00
808;JZO;IZOPLAST 150 M;NIE;1646;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
809;SZAJNA;CR 1,56;NIE;2277;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;200,00
810;UNIVERCE OPTICAL;INDEX 1,56 HC;NIE;1653;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;79,00
811;JZO;IZOKRON IN. 15;NIE;2320;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
812;RAKO;CR 1,56;NIE;2331;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
813;RAKO;CR 1,74;NIE;2076;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;350,00
814;JZO;IZOPLAST 150 M;NIE;2148;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
815;SZAJNA;CR;NIE;2111;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
816;SZAJNA;NIE DOTYCZY;NIE;1549;SZKŁO OKULAROWE;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;169,00
817;SZAJNA;CR 1,74;NIE;2122;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;500,00
818;SZAJNA;OPTIGLAS 1,7;NIE;1660;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;95,00
819;JZO;IZOPLAST 156;NIE;1649;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;190,00
820;RAKO;CR/60;NIE;2329;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
821;JZO;NEOLENS RX 1,5;NIE;2153;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;85,00
822;JZO;IZOPLAST 156;NIE;2151;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;190,00
823;SZAJNA;NIE DOTYCZY;NIE;1471;SZKŁO OKULAROWE;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;350,00
824;RAKO;CR 1,56;NIE;2069;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;89,00
825;SZAJNA;CR 1,56;NIE;2325;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;100,00
826;JZO;IZOKRON IN. 15;NIE;1645;SOCZEWKA OKULAROWA;O.01.01.00.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO BLIŻY DOROŚLI                                                                                                                                                                                              ;50,00
827;SZAJNA;NIE DOTYCZY;NIE;1481;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;190,00
828;UNIVERCE OPTICAL;IN. 1,49 HC;NIE;1777;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
829;SZAJNA;NIE DOTYCZY;NIE;1482;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;250,00
830;SZAJNA;OPTIPLAST 1,6;NIE;2377;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;100,00
831;JZO;IZOPLAST 150 TOPAZ;NIE;2202;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;129,00
832;SZAJNA;OPTIGAS 1,6;NIE;2230;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;85,00
833;JZO;NIE DOTYCZY;NIE;1423;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
834;SZAJNA;OPTIGAS 1,6;NIE;1787;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;85,00
835;JZO;IZOPLAST 160;NIE;2203;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;239,00
836;SZAJNA;OPTIGAS 1,7;NIE;1788;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;98,00
837;SZAJNA;OPTIGAS 1,6;NIE;2286;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;100,00
838;JZO;IZOKORN 15;NIE;2204;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;79,00
839;UNIVERCE OPTICAL;IN. 1,66 S.C.;NIE;1779;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;79,00
840;SZAJNA;OPTIPLAST 1,67 ASF;NIE;2235;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;297,00
841;SZAJNA;OPTIPLAST 1,5;NIE;2232;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;99,00
842;JZO;IZOPLAST 150 VTR;NIE;1780;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
843;SZAJNA;OPTIGAS 1,52;NIE;1786;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
844;JZO;IZOPLAST 150 TOPAZ;NIE;1781;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;129,00
845;SZAJNA;NIE DOTYCZY;NIE;1480;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;120,00
846;SZAJNA;OPTIPLAST 1,6 ASF;NIE;1791;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;210,00
847;SZAJNA;OPTIPLAST 1,56 ASF;NIE;2233;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;146,00
848;UNIVERCE OPTICAL;IN.1,56 HC;NIE;1778;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;59,00
849;SZAJNA;OPTIPLAST 1,5;NIE;1789;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;99,00
850;SZAJNA;OPTIGAS 1,7;NIE;2231;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;98,00
851;JZO;IZOKORN 1,7;NIE;1785;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;149,00
852;SZAJNA;OPTIPLAST 1,6 ASF;NIE;2234;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;210,00
853;SZAJNA;OPTIPLAST 1,67 ASF;NIE;1792;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;297,00
854;JZO;IZOKORN 15;NIE;1783;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;79,00
855;JZO;NIE DOTYCZY;NIE;1479;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
856;SZAJNA;OPTIGAS 1,52;NIE;2229;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
857;SZAJNA;NIE DOTYCZY;NIE;1483;SZKŁO OKULAROWE;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;350,00
858;JZO;IZOKORN 16;NIE;1784;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;89,00
859;JZO;IZOPLAST 160;NIE;1782;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;239,00
860;SZAJNA;OPTIPLAST 1,56 ASF;NIE;1790;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;146,00
861;JZO;IZOKORN 1,7;NIE;2206;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;149,00
862;JZO;IZOPLAST 150 VTR;NIE;2201;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;50,00
863;JZO;IZOKORN 16;NIE;2205;SOCZEWKA OKULAROWA;O.01.01.00.B2.PR;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DLA DOROSŁYCH, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                   ;89,00
864;JZO;NIE DOTYCZY;NIE;2283;SZKŁO OKULAROWE;O.01.01.01.B.PR ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR- DO BLIŻY DZIECI, W TYM SOCZEWKA Z MOCĄ PRYZMATYCZNĄ                                                                                                                                                           ;25,00
865;JZO;IZOKORN 16;NIE;1736;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;89,00
866;JZO;IZOPLAST 150 V;NIE;2367;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
867;RAKO;CR 1,7;NIE;1990;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;250,00
868;RAKO;CR 1,56;NIE;1984;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;89,00
869;SZAJNA;OPTIGAS 1,7;NIE;1740;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;98,00
870;SZAJNA;NIE DOTYCZY;NIE;1495;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;560,00
871;SZAJNA;NIE DOTYCZY;NIE;1554;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;198,00
872;SZAJNA;CR 1,56;NIE;2034;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;130,00
873;SZAJNA;CR 1,74;NIE;2041;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;500,00
874;JZO;IZOPLAST 160;NIE;2187;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;240,00
875;RAKO;CR 1,67 A;NIE;1989;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;220,00
876;SZAJNA;CR 1,5 A;NIE;2033;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;120,00
877;SZAJNA;NIE DOTYCZY;NIE;1494;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;370,00
878;RAKO;CR/70;NIE;1982;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
879;RAKO;CR 1,56 A;NIE;1985;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;95,00
880;JZO;IZOKORN 15;NIE;1735;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;79,00
881;SZAJNA;CR 1,67;NIE;2040;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;350,00
882;SZAJNA;NIE DOTYCZY;NIE;1492;SZKŁO OKULAROWE;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;98,00
883;SZAJNA;CR 1,5 K;NIE;2032;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;110,00
884;JZO;IZOKORN 1,7;NIE;1737;SOCZEWKA OKULAROWA;O.01.01.01.B2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;149,00
